Sexo;Titulación;Ocupación en el primer empleo;Total
Ambos sexos;Formación de docentes de enseñanza primaria;Empleados contables, administrativos y otros empleados de oficina;5
Ambos sexos;Formación de docentes de enseñanza primaria;Trabajadores de los servicios de restauración, personales, protección y vendedores;52
Ambos sexos;Formación de docentes de enseñanza primaria;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;2
Ambos sexos;Formación de docentes de enseñanza primaria;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);7
Ambos sexos;Formación de docentes de enseñanza primaria;Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Formación de docentes de enseñanza primaria;Ocupaciones elementales;9
Ambos sexos;Formación de docentes de enseñanza primaria;Ocupaciones militares;0
Ambos sexos;Formación de docentes de enseñanza primaria;No consta;0
Ambos sexos;Formación de docentes de educación secundaria y formación profesional;Total;14.235
Ambos sexos;Formación de docentes de educación secundaria y formación profesional;Directores y gerentes;175
Ambos sexos;Formación de docentes de educación secundaria y formación profesional;Técnicos y profesionales científicos e intelectuales;8.608
Ambos sexos;Formación de docentes de educación secundaria y formación profesional;Técnicos profesionales de apoyo;1.779
Ambos sexos;Formación de docentes de educación secundaria y formación profesional;Empleados contables, administrativos y otros empleados de oficina;1.089
Ambos sexos;Formación de docentes de educación secundaria y formación profesional;Trabajadores de los servicios de restauración, personales, protección y vendedores;1.888
Ambos sexos;Formación de docentes de educación secundaria y formación profesional;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;20
Ambos sexos;Formación de docentes de educación secundaria y formación profesional;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);65
Ambos sexos;Formación de docentes de educación secundaria y formación profesional;Operadores de instalaciones y maquinaria, y montadores;58
Ambos sexos;Formación de docentes de educación secundaria y formación profesional;Ocupaciones elementales;519
Ambos sexos;Formación de docentes de educación secundaria y formación profesional;Ocupaciones militares;21
Ambos sexos;Formación de docentes de educación secundaria y formación profesional;No consta;12
Ambos sexos;Educación (Otros estudios);Total;126
Ambos sexos;Educación (Otros estudios);Directores y gerentes;5
Ambos sexos;Educación (Otros estudios);Técnicos y profesionales científicos e intelectuales;66
Ambos sexos;Educación (Otros estudios);Técnicos profesionales de apoyo;13
Ambos sexos;Educación (Otros estudios);Empleados contables, administrativos y otros empleados de oficina;8
Ambos sexos;Educación (Otros estudios);Trabajadores de los servicios de restauración, personales, protección y vendedores;30
Ambos sexos;Educación (Otros estudios);Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Educación (Otros estudios);Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);2
Ambos sexos;Educación (Otros estudios);Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Educación (Otros estudios);Ocupaciones elementales;2
Ambos sexos;Educación (Otros estudios);Ocupaciones militares;0
Ambos sexos;Educación (Otros estudios);No consta;0
Ambos sexos;02 - ARTES Y HUMANIDADES;Total;4.283
Ambos sexos;02 - ARTES Y HUMANIDADES;Directores y gerentes;58
Ambos sexos;02 - ARTES Y HUMANIDADES;Técnicos y profesionales científicos e intelectuales;2.582
Ambos sexos;02 - ARTES Y HUMANIDADES;Técnicos profesionales de apoyo;336
Ambos sexos;02 - ARTES Y HUMANIDADES;Empleados contables, administrativos y otros empleados de oficina;395
Ambos sexos;02 - ARTES Y HUMANIDADES;Trabajadores de los servicios de restauración, personales, protección y vendedores;661
Ambos sexos;02 - ARTES Y HUMANIDADES;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;3
Ambos sexos;02 - ARTES Y HUMANIDADES;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);15
Ambos sexos;02 - ARTES Y HUMANIDADES;Operadores de instalaciones y maquinaria, y montadores;28
Ambos sexos;02 - ARTES Y HUMANIDADES;Ocupaciones elementales;194
Ambos sexos;02 - ARTES Y HUMANIDADES;Ocupaciones militares;10
Ambos sexos;02 - ARTES Y HUMANIDADES;No consta;0
Ambos sexos;Técnicas audiovisuales y medios de comunicación;Total;420
Ambos sexos;Técnicas audiovisuales y medios de comunicación;Directores y gerentes;10
Ambos sexos;Técnicas audiovisuales y medios de comunicación;Técnicos y profesionales científicos e intelectuales;237
Ambos sexos;Técnicas audiovisuales y medios de comunicación;Técnicos profesionales de apoyo;50
Ambos sexos;Técnicas audiovisuales y medios de comunicación;Empleados contables, administrativos y otros empleados de oficina;37
Ambos sexos;Técnicas audiovisuales y medios de comunicación;Trabajadores de los servicios de restauración, personales, protección y vendedores;67
Ambos sexos;Técnicas audiovisuales y medios de comunicación;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Técnicas audiovisuales y medios de comunicación;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Ambos sexos;Técnicas audiovisuales y medios de comunicación;Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Técnicas audiovisuales y medios de comunicación;Ocupaciones elementales;20
Ambos sexos;Técnicas audiovisuales y medios de comunicación;Ocupaciones militares;0
Ambos sexos;Técnicas audiovisuales y medios de comunicación;No consta;0
Ambos sexos;Bellas artes;Total;491
Ambos sexos;Bellas artes;Directores y gerentes;19
Ambos sexos;Bellas artes;Técnicos y profesionales científicos e intelectuales;174
Ambos sexos;Bellas artes;Técnicos profesionales de apoyo;66
Ambos sexos;Bellas artes;Empleados contables, administrativos y otros empleados de oficina;77
Ambos sexos;Bellas artes;Trabajadores de los servicios de restauración, personales, protección y vendedores;107
Ambos sexos;Bellas artes;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Bellas artes;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Ambos sexos;Bellas artes;Operadores de instalaciones y maquinaria, y montadores;3
Ambos sexos;Bellas artes;Ocupaciones elementales;44
Ambos sexos;Bellas artes;Ocupaciones militares;0
Ambos sexos;Bellas artes;No consta;0
Ambos sexos;Música y artes del espectáculo;Total;362
Ambos sexos;Música y artes del espectáculo;Directores y gerentes;0
Ambos sexos;Música y artes del espectáculo;Técnicos y profesionales científicos e intelectuales;284
Ambos sexos;Música y artes del espectáculo;Técnicos profesionales de apoyo;20
Ambos sexos;Música y artes del espectáculo;Empleados contables, administrativos y otros empleados de oficina;16
Ambos sexos;Música y artes del espectáculo;Trabajadores de los servicios de restauración, personales, protección y vendedores;33
Ambos sexos;Música y artes del espectáculo;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Música y artes del espectáculo;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);2
Ambos sexos;Música y artes del espectáculo;Operadores de instalaciones y maquinaria, y montadores;2
Ambos sexos;Música y artes del espectáculo;Ocupaciones elementales;4
Ambos sexos;Música y artes del espectáculo;Ocupaciones militares;0
Ambos sexos;Música y artes del espectáculo;No consta;0
Ambos sexos;Artes (Otros estudios);Total;118
Ambos sexos;Artes (Otros estudios);Directores y gerentes;0
Ambos sexos;Artes (Otros estudios);Técnicos y profesionales científicos e intelectuales;45
Ambos sexos;Artes (Otros estudios);Técnicos profesionales de apoyo;15
Ambos sexos;Artes (Otros estudios);Empleados contables, administrativos y otros empleados de oficina;19
Ambos sexos;Artes (Otros estudios);Trabajadores de los servicios de restauración, personales, protección y vendedores;34
Ambos sexos;Artes (Otros estudios);Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Artes (Otros estudios);Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);5
Ambos sexos;Artes (Otros estudios);Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Artes (Otros estudios);Ocupaciones elementales;0
Ambos sexos;Artes (Otros estudios);Ocupaciones militares;0
Ambos sexos;Artes (Otros estudios);No consta;0
Ambos sexos;Religión y teología;Total;42
Ambos sexos;Religión y teología;Directores y gerentes;2
Ambos sexos;Religión y teología;Técnicos y profesionales científicos e intelectuales;28
Ambos sexos;Religión y teología;Técnicos profesionales de apoyo;1
Ambos sexos;Religión y teología;Empleados contables, administrativos y otros empleados de oficina;4
Ambos sexos;Religión y teología;Trabajadores de los servicios de restauración, personales, protección y vendedores;7
Ambos sexos;Religión y teología;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Religión y teología;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Ambos sexos;Religión y teología;Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Religión y teología;Ocupaciones elementales;0
Ambos sexos;Religión y teología;Ocupaciones militares;0
Ambos sexos;Religión y teología;No consta;0
Ambos sexos;Historia y arqueología;Total;851
Ambos sexos;Historia y arqueología;Directores y gerentes;2
Ambos sexos;Historia y arqueología;Técnicos y profesionales científicos e intelectuales;416
Ambos sexos;Historia y arqueología;Técnicos profesionales de apoyo;99
Ambos sexos;Historia y arqueología;Empleados contables, administrativos y otros empleados de oficina;76
Ambos sexos;Historia y arqueología;Trabajadores de los servicios de restauración, personales, protección y vendedores;154
Ambos sexos;Historia y arqueología;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;3
Ambos sexos;Historia y arqueología;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);3
Ambos sexos;Historia y arqueología;Operadores de instalaciones y maquinaria, y montadores;16
Ambos sexos;Historia y arqueología;Ocupaciones elementales;80
Ambos sexos;Historia y arqueología;Ocupaciones militares;2
Ambos sexos;Historia y arqueología;No consta;0
Ambos sexos;Filosofía y ética;Total;361
Ambos sexos;Filosofía y ética;Directores y gerentes;4
Ambos sexos;Filosofía y ética;Técnicos y profesionales científicos e intelectuales;272
Ambos sexos;Filosofía y ética;Técnicos profesionales de apoyo;3
Ambos sexos;Filosofía y ética;Empleados contables, administrativos y otros empleados de oficina;37
Ambos sexos;Filosofía y ética;Trabajadores de los servicios de restauración, personales, protección y vendedores;38
Ambos sexos;Filosofía y ética;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Filosofía y ética;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);4
Ambos sexos;Filosofía y ética;Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Filosofía y ética;Ocupaciones elementales;3
Ambos sexos;Filosofía y ética;Ocupaciones militares;0
Ambos sexos;Filosofía y ética;No consta;0
Ambos sexos;Humanidades (Otros estudios);Total;186
Ambos sexos;Humanidades (Otros estudios);Directores y gerentes;10
Ambos sexos;Humanidades (Otros estudios);Técnicos y profesionales científicos e intelectuales;109
Ambos sexos;Humanidades (Otros estudios);Técnicos profesionales de apoyo;13
Ambos sexos;Humanidades (Otros estudios);Empleados contables, administrativos y otros empleados de oficina;17
Ambos sexos;Humanidades (Otros estudios);Trabajadores de los servicios de restauración, personales, protección y vendedores;25
Ambos sexos;Humanidades (Otros estudios);Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Humanidades (Otros estudios);Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Ambos sexos;Humanidades (Otros estudios);Operadores de instalaciones y maquinaria, y montadores;2
Ambos sexos;Humanidades (Otros estudios);Ocupaciones elementales;5
Ambos sexos;Humanidades (Otros estudios);Ocupaciones militares;6
Ambos sexos;Humanidades (Otros estudios);No consta;0
Ambos sexos;Aprendizaje de segundas lenguas;Total;645
Ambos sexos;Aprendizaje de segundas lenguas;Directores y gerentes;4
Ambos sexos;Aprendizaje de segundas lenguas;Técnicos y profesionales científicos e intelectuales;478
Ambos sexos;Aprendizaje de segundas lenguas;Técnicos profesionales de apoyo;36
Ambos sexos;Aprendizaje de segundas lenguas;Empleados contables, administrativos y otros empleados de oficina;67
Ambos sexos;Aprendizaje de segundas lenguas;Trabajadores de los servicios de restauración, personales, protección y vendedores;48
Ambos sexos;Aprendizaje de segundas lenguas;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Aprendizaje de segundas lenguas;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Ambos sexos;Aprendizaje de segundas lenguas;Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Aprendizaje de segundas lenguas;Ocupaciones elementales;11
Ambos sexos;Aprendizaje de segundas lenguas;Ocupaciones militares;2
Ambos sexos;Aprendizaje de segundas lenguas;No consta;0
Ambos sexos;Literatura y lingüística;Total;629
Ambos sexos;Literatura y lingüística;Directores y gerentes;7
Ambos sexos;Literatura y lingüística;Técnicos y profesionales científicos e intelectuales;428
Ambos sexos;Literatura y lingüística;Técnicos profesionales de apoyo;22
Ambos sexos;Literatura y lingüística;Empleados contables, administrativos y otros empleados de oficina;28
Ambos sexos;Literatura y lingüística;Trabajadores de los servicios de restauración, personales, protección y vendedores;127
Ambos sexos;Literatura y lingüística;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Literatura y lingüística;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Ambos sexos;Literatura y lingüística;Operadores de instalaciones y maquinaria, y montadores;5
Ambos sexos;Literatura y lingüística;Ocupaciones elementales;11
Ambos sexos;Literatura y lingüística;Ocupaciones militares;0
Ambos sexos;Literatura y lingüística;No consta;0
Ambos sexos;Lenguas (Otros estudios);Total;178
Ambos sexos;Lenguas (Otros estudios);Directores y gerentes;0
Ambos sexos;Lenguas (Otros estudios);Técnicos y profesionales científicos e intelectuales;112
Ambos sexos;Lenguas (Otros estudios);Técnicos profesionales de apoyo;11
Ambos sexos;Lenguas (Otros estudios);Empleados contables, administrativos y otros empleados de oficina;18
Ambos sexos;Lenguas (Otros estudios);Trabajadores de los servicios de restauración, personales, protección y vendedores;21
Ambos sexos;Lenguas (Otros estudios);Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Lenguas (Otros estudios);Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);1
Ambos sexos;Lenguas (Otros estudios);Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Lenguas (Otros estudios);Ocupaciones elementales;16
Ambos sexos;Lenguas (Otros estudios);Ocupaciones militares;0
Ambos sexos;Lenguas (Otros estudios);No consta;0
Ambos sexos;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Total;6.891
Ambos sexos;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Directores y gerentes;270
Ambos sexos;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Técnicos y profesionales científicos e intelectuales;3.918
Ambos sexos;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Técnicos profesionales de apoyo;742
Ambos sexos;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Empleados contables, administrativos y otros empleados de oficina;650
Ambos sexos;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Trabajadores de los servicios de restauración, personales, protección y vendedores;999
Ambos sexos;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;14
Ambos sexos;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);16
Ambos sexos;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Operadores de instalaciones y maquinaria, y montadores;3
Ambos sexos;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Ocupaciones elementales;247
Ambos sexos;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Ocupaciones militares;19
Ambos sexos;03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;No consta;14
Ambos sexos;Economía;Total;733
Ambos sexos;Economía;Directores y gerentes;66
Ambos sexos;Economía;Técnicos y profesionales científicos e intelectuales;366
Ambos sexos;Economía;Técnicos profesionales de apoyo;75
Ambos sexos;Economía;Empleados contables, administrativos y otros empleados de oficina;141
Ambos sexos;Economía;Trabajadores de los servicios de restauración, personales, protección y vendedores;30
Ambos sexos;Economía;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Economía;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);7
Ambos sexos;Economía;Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Economía;Ocupaciones elementales;34
Ambos sexos;Economía;Ocupaciones militares;7
Ambos sexos;Economía;No consta;7
Ambos sexos;Ciencias políticas;Total;1.129
Ambos sexos;Ciencias políticas;Directores y gerentes;101
Ambos sexos;Ciencias políticas;Técnicos y profesionales científicos e intelectuales;420
Ambos sexos;Ciencias políticas;Técnicos profesionales de apoyo;115
Ambos sexos;Ciencias políticas;Empleados contables, administrativos y otros empleados de oficina;160
Ambos sexos;Ciencias políticas;Trabajadores de los servicios de restauración, personales, protección y vendedores;257
Ambos sexos;Ciencias políticas;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Ciencias políticas;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Ambos sexos;Ciencias políticas;Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Ciencias políticas;Ocupaciones elementales;64
Ambos sexos;Ciencias políticas;Ocupaciones militares;11
Ambos sexos;Ciencias políticas;No consta;0
Ambos sexos;Psicología;Total;2.196
Ambos sexos;Psicología;Directores y gerentes;30
Ambos sexos;Psicología;Técnicos y profesionales científicos e intelectuales;1.544
Ambos sexos;Psicología;Técnicos profesionales de apoyo;159
Ambos sexos;Psicología;Empleados contables, administrativos y otros empleados de oficina;98
Ambos sexos;Psicología;Trabajadores de los servicios de restauración, personales, protección y vendedores;278
Ambos sexos;Psicología;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;14
Ambos sexos;Psicología;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);6
Ambos sexos;Psicología;Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Psicología;Ocupaciones elementales;67
Ambos sexos;Psicología;Ocupaciones militares;0
Ambos sexos;Psicología;No consta;0
Ambos sexos;Sociología, antropología y geografía social y cultural;Total;1.542
Ambos sexos;Sociología, antropología y geografía social y cultural;Directores y gerentes;41
Ambos sexos;Sociología, antropología y geografía social y cultural;Técnicos y profesionales científicos e intelectuales;790
Ambos sexos;Sociología, antropología y geografía social y cultural;Técnicos profesionales de apoyo;244
Ambos sexos;Sociología, antropología y geografía social y cultural;Empleados contables, administrativos y otros empleados de oficina;146
Ambos sexos;Sociología, antropología y geografía social y cultural;Trabajadores de los servicios de restauración, personales, protección y vendedores;299
Ambos sexos;Sociología, antropología y geografía social y cultural;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Sociología, antropología y geografía social y cultural;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Ambos sexos;Sociología, antropología y geografía social y cultural;Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Sociología, antropología y geografía social y cultural;Ocupaciones elementales;22
Ambos sexos;Sociología, antropología y geografía social y cultural;Ocupaciones militares;0
Ambos sexos;Sociología, antropología y geografía social y cultural;No consta;0
Ambos sexos;Ciencias sociales y del comportamiento (Otros estudios);Total;251
Ambos sexos;Ciencias sociales y del comportamiento (Otros estudios);Directores y gerentes;9
Ambos sexos;Ciencias sociales y del comportamiento (Otros estudios);Técnicos y profesionales científicos e intelectuales;124
Ambos sexos;Ciencias sociales y del comportamiento (Otros estudios);Técnicos profesionales de apoyo;42
Ambos sexos;Ciencias sociales y del comportamiento (Otros estudios);Empleados contables, administrativos y otros empleados de oficina;6
Ambos sexos;Ciencias sociales y del comportamiento (Otros estudios);Trabajadores de los servicios de restauración, personales, protección y vendedores;33
Ambos sexos;Ciencias sociales y del comportamiento (Otros estudios);Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Ciencias sociales y del comportamiento (Otros estudios);Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Ambos sexos;Ciencias sociales y del comportamiento (Otros estudios);Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Ciencias sociales y del comportamiento (Otros estudios);Ocupaciones elementales;36
Ambos sexos;Ciencias sociales y del comportamiento (Otros estudios);Ocupaciones militares;0
Ambos sexos;Ciencias sociales y del comportamiento (Otros estudios);No consta;2
Ambos sexos;Periodismo y comunicación;Total;788
Ambos sexos;Periodismo y comunicación;Directores y gerentes;20
Ambos sexos;Periodismo y comunicación;Técnicos y profesionales científicos e intelectuales;536
Ambos sexos;Periodismo y comunicación;Técnicos profesionales de apoyo;70
Ambos sexos;Periodismo y comunicación;Empleados contables, administrativos y otros empleados de oficina;44
Ambos sexos;Periodismo y comunicación;Trabajadores de los servicios de restauración, personales, protección y vendedores;87
Ambos sexos;Periodismo y comunicación;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Periodismo y comunicación;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Ambos sexos;Periodismo y comunicación;Operadores de instalaciones y maquinaria, y montadores;3
Ambos sexos;Periodismo y comunicación;Ocupaciones elementales;23
Ambos sexos;Periodismo y comunicación;Ocupaciones militares;0
Ambos sexos;Periodismo y comunicación;No consta;5
Ambos sexos;Biblioteconomía, documentación y archivos;Total;253
Ambos sexos;Biblioteconomía, documentación y archivos;Directores y gerentes;3
Ambos sexos;Biblioteconomía, documentación y archivos;Técnicos y profesionales científicos e intelectuales;139
Ambos sexos;Biblioteconomía, documentación y archivos;Técnicos profesionales de apoyo;37
Ambos sexos;Biblioteconomía, documentación y archivos;Empleados contables, administrativos y otros empleados de oficina;55
Ambos sexos;Biblioteconomía, documentación y archivos;Trabajadores de los servicios de restauración, personales, protección y vendedores;15
Ambos sexos;Biblioteconomía, documentación y archivos;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Biblioteconomía, documentación y archivos;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);2
Ambos sexos;Biblioteconomía, documentación y archivos;Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Biblioteconomía, documentación y archivos;Ocupaciones elementales;2
Ambos sexos;Biblioteconomía, documentación y archivos;Ocupaciones militares;0
Ambos sexos;Biblioteconomía, documentación y archivos;No consta;0
Ambos sexos;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Total;9.358
Ambos sexos;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Directores y gerentes;762
Ambos sexos;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Técnicos y profesionales científicos e intelectuales;4.537
Ambos sexos;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Técnicos profesionales de apoyo;1.241
Ambos sexos;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Empleados contables, administrativos y otros empleados de oficina;1.765
Ambos sexos;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Trabajadores de los servicios de restauración, personales, protección y vendedores;738
Ambos sexos;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;2
Ambos sexos;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);26
Ambos sexos;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Operadores de instalaciones y maquinaria, y montadores;7
Ambos sexos;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Ocupaciones elementales;248
Ambos sexos;04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Ocupaciones militares;30
